04/15/2025 19:33:08.891 | DEBUG    |                                      InstallAshita | Installing Ashita into the current process.
04/15/2025 19:33:08.891 | DEBUG    |                             AshitaCore::AshitaCore | .ctor
04/15/2025 19:33:08.891 | DEBUG    |                             AshitaCore::Initialize | <Begin>
04/15/2025 19:33:08.891 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
04/15/2025 19:33:08.891 | DEBUG    |                             AshitaCore::Initialize | Starting initialization...
04/15/2025 19:33:08.891 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Install Path : C:\Users\Administrator\Desktop\AshitaV4\
04/15/2025 19:33:08.891 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Config Script: \boot\example-retail.ini
04/15/2025 19:33:08.891 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: C:\Users\Administrator\Desktop\AshitaV4\\config\boot\example-retail.ini
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize | >> BOOT CONFIGURATION DUMP <<
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize | [ashita.launcher]
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   autoclose : 1
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   name : Example Configuration
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize | [ashita.boot]
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   file : 
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   gamemodule : ffximain.dll
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   script : default.txt
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   args : 
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize | [ashita.fonts]
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   d3d8.disable_scaling : 0
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   d3d8.family : Arial
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   d3d8.height : 10
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize | [ashita.input]
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   gamepad.allowbackground : 0
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   gamepad.disableenumeration : 0
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockinput : 0
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockbindsduringinput : 0
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   keyboard.silentbinds : 0
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   keyboard.windowskeyenabled : 1
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   mouse.blockinput : 0
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   mouse.unhook : 1
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize | [ashita.language]
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   playonline : 2
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   ashita : 2
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize | [ashita.logging]
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   level : 5
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   crashdumps : 1
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize | [ashita.misc]
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   addons.silent : 0
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   aliases.silent : 0
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   plugins.silent : 0
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize | [ashita.resources]
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   offsets.use_overrides : 1
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   pointers.use_overrides : 1
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   resources.use_overrides : 1
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize | [ashita.taskpool]
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   threadcount : -1
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize | [ashita.window.startpos]
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   x : -1
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   y : -1
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize | [ashita.polplugins]
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   sandbox : 0
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize | [ffxi.direct3d8]
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   presentparams.backbufferformat : -1
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   presentparams.backbuffercount : -1
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   presentparams.multisampletype : -1
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   presentparams.swapeffect : -1
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   presentparams.enableautodepthstencil : -1
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   presentparams.autodepthstencilformat : -1
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   presentparams.flags : -1
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   presentparams.fullscreen_refreshrateinhz : -1
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   presentparams.fullscreen_presentationinterval : -1
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   behaviorflags.fpu_preserve : 0
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize | [ffxi.registry]
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   0000 : 6
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   0001 : 1920
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   0002 : 1080
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   0003 : 4096
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   0004 : 4096
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   0005 : -1
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   0006 : -1
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   0007 : 1
04/15/2025 19:33:08.893 | DEBUG    |                             AshitaCore::Initialize |   0008 : -1
