04/14/2025 14:12:40.797 | DEBUG    |                                      InstallAshita | Installing Ashita into the current process.
04/14/2025 14:12:40.797 | DEBUG    |                             AshitaCore::AshitaCore | .ctor
04/14/2025 14:12:40.797 | DEBUG    |                             AshitaCore::Initialize | <Begin>
04/14/2025 14:12:40.797 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
04/14/2025 14:12:40.797 | DEBUG    |                             AshitaCore::Initialize | Starting initialization...
04/14/2025 14:12:40.797 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Install Path : C:\Users\Administrator\Desktop\AshitaV4\
04/14/2025 14:12:40.797 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Config Script: \boot\example-retail.ini
04/14/2025 14:12:40.797 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: C:\Users\Administrator\Desktop\AshitaV4\\config\boot\example-retail.ini
04/14/2025 14:12:40.798 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
04/14/2025 14:12:40.798 | DEBUG    |                             AshitaCore::Initialize | >> BOOT CONFIGURATION DUMP <<
04/14/2025 14:12:40.798 | DEBUG    |                             AshitaCore::Initialize | [ashita.launcher]
04/14/2025 14:12:40.798 | DEBUG    |                             AshitaCore::Initialize |   autoclose : 1
04/14/2025 14:12:40.798 | DEBUG    |                             AshitaCore::Initialize |   name : Example Configuration
04/14/2025 14:12:40.798 | DEBUG    |                             AshitaCore::Initialize | [ashita.boot]
04/14/2025 14:12:40.798 | DEBUG    |                             AshitaCore::Initialize |   file : 
04/14/2025 14:12:40.798 | DEBUG    |                             AshitaCore::Initialize |   gamemodule : ffximain.dll
04/14/2025 14:12:40.798 | DEBUG    |                             AshitaCore::Initialize |   script : default.txt
04/14/2025 14:12:40.798 | DEBUG    |                             AshitaCore::Initialize |   args : 
04/14/2025 14:12:40.798 | DEBUG    |                             AshitaCore::Initialize | [ashita.fonts]
04/14/2025 14:12:40.798 | DEBUG    |                             AshitaCore::Initialize |   d3d8.disable_scaling : 0
04/14/2025 14:12:40.798 | DEBUG    |                             AshitaCore::Initialize |   d3d8.family : Arial
04/14/2025 14:12:40.798 | DEBUG    |                             AshitaCore::Initialize |   d3d8.height : 10
04/14/2025 14:12:40.798 | DEBUG    |                             AshitaCore::Initialize | [ashita.input]
04/14/2025 14:12:40.798 | DEBUG    |                             AshitaCore::Initialize |   gamepad.allowbackground : 0
04/14/2025 14:12:40.798 | DEBUG    |                             AshitaCore::Initialize |   gamepad.disableenumeration : 0
04/14/2025 14:12:40.798 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockinput : 0
04/14/2025 14:12:40.798 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockbindsduringinput : 0
04/14/2025 14:12:40.798 | DEBUG    |                             AshitaCore::Initialize |   keyboard.silentbinds : 0
04/14/2025 14:12:40.798 | DEBUG    |                             AshitaCore::Initialize |   keyboard.windowskeyenabled : 1
04/14/2025 14:12:40.798 | DEBUG    |                             AshitaCore::Initialize |   mouse.blockinput : 0
